home_team,away_team,home_goals,away_goals,result,season
Wolverhampton Wanderers FC,Sunderland AFC,,,,2025/2026
Sunderland AFC,Manchester United FC,,,,2025/2026
Brighton & Hove Albion FC,Wolverhampton Wanderers FC,,,,2025/2026
Crystal Palace FC,Everton FC,,,,2025/2026
Burnley FC,Aston Villa FC,,,,2025/2026
Fulham FC,AFC Bournemouth,,,,2025/2026
Liverpool FC,Chelsea FC,,,,2025/2026
Manchester City FC,Brentford FC,,,,2025/2026
Nottingham Forest FC,Newcastle United FC,,,,2025/2026
Tottenham Hotspur FC,Leeds United FC,,,,2025/2026
West Ham United FC,Arsenal FC,,,,2025/2026
AFC Bournemouth,Manchester City FC,,,,2025/2026
Aston Villa FC,Liverpool FC,,,,2025/2026
Arsenal FC,Burnley FC,,,,2025/2026
Brentford FC,Crystal Palace FC,,,,2025/2026
Chelsea FC,Tottenham Hotspur FC,,,,2025/2026
Everton FC,Sunderland AFC,,,,2025/2026
Leeds United FC,Brighton & Hove Albion FC,,,,2025/2026
Manchester United FC,Nottingham Forest FC,,,,2025/2026
Newcastle United FC,West Ham United FC,,,,2025/2026
Wolverhampton Wanderers FC,Fulham FC,,,,2025/2026
Sunderland AFC,Chelsea FC,,,,2025/2026
Brighton & Hove Albion FC,Manchester United FC,,,,2025/2026
Crystal Palace FC,Arsenal FC,,,,2025/2026
Burnley FC,Wolverhampton Wanderers FC,,,,2025/2026
Fulham FC,Newcastle United FC,,,,2025/2026
Liverpool FC,Brentford FC,,,,2025/2026
Manchester City FC,Aston Villa FC,,,,2025/2026
Nottingham Forest FC,AFC Bournemouth,,,,2025/2026
Tottenham Hotspur FC,Everton FC,,,,2025/2026
West Ham United FC,Leeds United FC,,,,2025/2026
